ns,step,natoms_pet,lx_used,lx_source,raw_span_x,raw_span_y,raw_span_z,final_span_x,final_span_y,final_span_z
1,500000,76,41.27185100,log,40.77500000,11.07572030,41.05820000,14.36614100,11.07572030,12.89455100
2,1000000,76,41.00120800,log,40.42000000,40.74620000,9.02774100,12.07640800,11.65910800,9.02774100
3,1500000,76,41.19938400,log,11.24679000,14.47687000,40.37150000,11.24679000,14.47687000,13.94249400
4,2000000,76,41.16181500,log,9.50714000,10.01291000,13.55075000,9.50714000,10.01291000,13.55075000
5,2500000,76,41.32343500,log,11.38756000,12.54561000,10.60525000,11.38756000,12.54561000,10.60525000
6,3000000,76,40.93876000,log,40.47810000,40.85090000,40.83920000,9.13826000,17.25660000,12.00846000
7,3500000,76,41.01692800,log,10.66746000,40.84630000,40.53780000,10.66746000,8.54292800,13.22402800
8,4000000,76,41.12927400,log,40.84470000,10.69087000,11.92825000,9.22747400,10.69087000,11.92825000
9,4500000,76,41.05966200,log,10.46438300,11.89456000,13.77734000,10.46438300,11.89456000,13.77734000
10,5000000,76,40.96514500,log,40.26170000,9.13927800,40.64380000,10.23284500,9.13927800,15.24092500
