conformer,solute_file,solvent,solvent_molar_mass_g_mol,ln_gamma_inf,x_inf,g_per_g_inf,ln_gamma_iter,x_iter,g_per_g_iter,residual,status
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,GVL,100.11582,-3.164232388058551,0.04973036162098897,0.3337967183481221,-2.6396528637436063,0.029430634453680903,0.19341063202466294,1.0658141036401503e-14,root
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,Formic_acid,46.02538,4.151561838725282,3.306835214945439e-05,0.0004588170416932289,4.148276995503771,3.317715510439717e-05,0.0004603267119050616,1.4281908988778014e-12,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,GVL,100.11582,-3.098810178979143,0.046581032729710814,0.3116252388107245,-2.6312789107444488,0.029185212713231042,0.19174929643633912,-4.440892098500626e-14,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,2.3705536492536687,0.00019628837639540443,0.0027239081743334224,2.3536340151070725,0.00019963775917379963,0.0027703970853818405,0.0,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,GVL,100.11582,-2.6925089472481876,0.031028067670531713,0.20424471688985477,-2.4141253529527997,0.023488445262695862,0.15342077899059925,2.1316282072803006e-14,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,3.8858352215056335,4.3133644774652e-05,0.0005984770698214204,3.8811613130769764,4.333571935170132e-05,0.0006012809655392245,2.504663143554353e-13,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.5655488793002554,0.010053613635807505,0.06477655024634296,-1.5284584995257084,0.009687551936520041,0.06239490168111116,5.329070518200751e-15,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,3.059740312945319,9.853366065761259e-05,0.0013672251460706078,3.050484216575427,9.944993172116202e-05,0.0013799403281567876,5.329070518200751e-15,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,GVL,100.11582,-2.463947278688055,0.024688326856367106,0.16145650058077846,-2.312043010248386,0.021209013715518615,0.13820947289232016,-4.263256414560601e-14,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,6.562756429265402,2.966497921459377e-06,4.115835053450862e-05,6.562346849391098,2.9677131893055225e-06,4.1175211685188656e-05,3.851265972798501e-10,root
06ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_06ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.2432400835168096,0.0072835861201651355,0.046798006768483606,-1.2234703401387605,0.007141005526424673,0.04587531862357504,3.4638958368304884e-14,root
06ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_06ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,2.3333797055727743,0.00020372251141890507,0.002827093231609215,2.312593688600856,0.00020800140754252366,0.002886484581482289,-4.263256414560601e-14,root
07ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_07ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.7851653854119114,0.012522770682909292,0.08088735549967038,-1.7136573179018662,0.011658558835043126,0.07523937199867829,3.6415315207705135e-14,root
07ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_07ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,2.576491195975109,0.00015975595017175899,0.0022168640168702975,2.5606362181054365,0.00016230906352079083,0.0022522982145411984,3.552713678800501e-15,root
08ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_08ns_cosmors.solute.orcacosmo,GVL,100.11582,-0.9978252599458983,0.00569853153536283,0.036555453338066396,-1.011842748936857,0.005778973115749701,0.03707447665479253,1.8474111129762605e-13,root
08ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_08ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,5.813666648286599,6.274362504973792e-06,8.705324339803741e-05,5.81282370998985,6.279653635237177e-06,8.71266553092545e-05,1.3603340676127118e-11,root
09ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_09ns_cosmors.solute.orcacosmo,GVL,100.11582,-2.172503231558917,0.018446718357929267,0.11987056066795024,-2.0557345125089395,0.01641372325621994,0.10643928412411492,4.085620730620576e-14,root
09ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_09ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,4.530269988359066,2.2643402903191526e-05,0.0003141695956858846,4.5275183262285275,2.2705795698142836e-05,0.00031503529437678594,-8.386003003124642e-11,root
10ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_10ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.0237046811121253,0.0058479310816863025,0.0375194725214157,-1.0500756657647443,0.0060041981852367735,0.038528115548773785,2.842170943040401e-14,root
10ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_10ns_cosmors.solute.orcacosmo,Formic_acid,46.02538,6.771352949097732,2.407973653653566e-06,3.340914808788978e-05,6.771007192852032,2.4088063698361255e-06,3.342070153874671e-05,1.254836234920731e-10,root
