solvent,quantity,n_conformers,mean,median,stdev,min,max
GVL,ln_gamma_inf,10,-1.2638302714455938,-1.220758710251113,0.7684304943261084,-2.531866946197244,-0.09013001463417503
GVL,x_inf,10,0.16145277919717235,0.11850671790863221,0.1298503091034306,0.03824020609937949,0.4394941512760405
GVL,g_per_g_inf,10,1.4370110609210973,0.8576128987830105,1.5137534555868952,0.2536068067235576,5.001269413354988
GVL,x_iter,10,0.0896742156166857,0.09077633027909071,0.023535293254567498,0.05171150948390114,0.12336509004839015
GVL,g_per_g_iter,10,0.6325211481503238,0.6369019025712375,0.18078374683808823,0.34781958667920826,0.8975958120543145
Formic_acid,ln_gamma_inf,10,5.908312337894696,5.470661704230714,1.204854448182665,4.301509104047987,7.860916641507508
Formic_acid,x_inf,10,0.00015712205813653158,0.00014712266155655847,0.00014107155541675135,1.347176617037477e-05,0.00047342979721512034
Formic_acid,g_per_g_inf,10,0.0021805575520365914,0.002041531805465819,0.001958162141916549,0.00018691450795981358,0.006571641599035768
Formic_acid,x_iter,10,0.0001623661731530071,0.00014986040432300848,0.00014869949887670678,1.3500946367038803e-05,0.0004998385220958451
Formic_acid,g_per_g_iter,10,0.0022533671129124373,0.0020795274968304937,0.0020640972727244424,0.00018731937512203516,0.006938402343118849
