solvent,quantity,n_conformers,n_finite,n_nonfinite,mean,median,stdev,min,max
NMP,ln_gamma_inf,10,10,0,-3.700058023903642,-3.7794627113230215,1.0023997667901337,-5.134637628017789,-2.335432919060116
NMP,x_inf_raw,10,10,0,2.143934091913887,1.580997196766087,1.9276412930334028,0.3611128026444429,5.933651627042661
NMP,x_inf,10,10,0,0.8051026811437914,1.0,0.25940682909111346,0.3611128026444429,1.0
NMP,g_per_g_inf,10,4,6,7.241165426002357,7.632366757503089,2.7723373568356586,3.6409855735980643,10.058942615405183
NMP,x_iter,10,10,0,0.18395209697861775,0.18795493891649612,0.02447714056917342,0.1508424926521849,0.20983711203727773
NMP,g_per_g_iter,10,10,0,1.4584497201207047,1.4935072674364078,0.2361245805454864,1.1442889512809293,1.710668782378821
Isopropanol,ln_gamma_inf,10,10,0,0.40290471690195595,0.5244976749422161,1.0369711830447381,-1.3480083767645752,2.205572765934793
Isopropanol,x_inf_raw,10,10,0,0.03756760305911354,0.02078022705722775,0.04123354151519682,0.0038504294873273194,0.13452712343357856
Isopropanol,x_inf,10,10,0,0.03756760305911354,0.02078022705722775,0.04123354151519682,0.0038504294873273194,0.13452712343357856
Isopropanol,g_per_g_inf,10,10,0,0.43429684089524767,0.22554358094278848,0.5065543227608896,0.041072973621979994,1.6516876355970793
Isopropanol,x_iter,10,10,0,0.045935502219811165,0.03892776434630424,0.0315475835329657,0.0046920314406234,0.09935106584148454
Isopropanol,g_per_g_iter,10,10,0,0.5227669855991831,0.4304322195778696,0.374922032790943,0.05009275944731308,1.1721643667949302
